,Distributor Item code,Company Dscription,new
0,Abreza Dk 600x300,300x600-06,KKWD  PLAIN IVORY-P
1,Abreza HL 600x300,240060-80,KFE X BM-RE T'COTA(Q size PL)-P
2,Abreza LT 600x300,300300-10,KFE X BM-RE COB STONE IV(PLU)-P
3,Aclin 600x600,240060-80,KFE X FRENCH BLACK (R size)-P
4,Acton DC 600x600,400400-06,KFE X BM-REC GREY (PLUS) -P
5,Adoks Beige 600x600,240060-80,KFE X BM-RE T'COTA(R size PL)-P
6,Adoks Grey 600x600,300300-10,KFE XBM-RE BUBLE ST IVY (PLU)-P
7,Agates Bianco 600x300,300300-0812,KFE X BM  MM -REC SU IVORY -P
8,Agates Nero 600x300,300300-10,KFE X BM-REC WHITE (COATED) -P
9,AGL Beige 600x300,300300-10,KFE XBM-RE BUBLE ST TCOT(PLU)-P
10,AGL HL 600x300,240060-80,KFE X JAIPURPINK (Psize)-P
11,AGL Lite 600x300,300300-10,KFE X BM-REC GREY -P
12,Ajmer Ivory 300x300,300300-10,KFE X BM-REC IVORY (PLUS) -P
13,Albano White 800x800,300300-10,KFE X BM-RE CHE TCOTA (PLUS) -P
14,Albito Lemon 600x600,240060-80,KFE X JAIPURPINK (Q size)-P
15,Albito White 600x600,30030010-,KFE X BMRE CAPSULE IVY(PLS)-P
16,Albury HL 600x300,300300-10,KFE X BM-RE COBST TCOTA(PLUS)-P
17,Algeria Beige 1200x600,300300-0812,KFE X BM-REC GREY  MM(PLUS)-P
18,Almendra SF 600x600,30030010-,KFE X BMRE BCHK IVORY(PLUS)SG-P
19,Almentos Floor 300x300,240060-80,KFE X JAIPURPINK (R size)-P
20,Almitos DK 600x300,300300-0812,KFE X BM-REC GREY-MM -P
21,Almitos HL 600x300,300300-0812,KFE X BM-REC TERRACOTA-MM -P
22,Almitos LT 600X300,300300-10,KFE X BM-REC GREY(PLUS) -P
23,Alpine Blue 300x300,400400-06,KFE X BM-REC IVORY (PLUS) -P
24,Amaron Bright 600x300,30030010-,KFE X BMRE CAPSULE TCOTA(PLS)-P
25,Amatrix Beige 450x300,30030010-,KFE X BMRE BCHK TCOTA(PLUS)SG-P
26,Amatrix Gris 450x300,300300-10,KFE XBM-RE CU ST TRD IVY(PLU)-P
27,Amazon Bright 600x300,240060-80,KFE X CHOCOBROWN (Psize)-P
28,Amazon DK 600x300,300300-10,KFE X BM-REC GREY(COATED) -P
29,Amazon Floor 300x300,300300-10,KFE X BM-RE TERRACOTA (PLUS) -P
30,Amazon Gris 600x600,300300-10,KFE X RE BLOCK CHE IVORY PLUS-P
31,Amazon HL 600x300,240060-80,KFE X COPPER BROWN (Psize)-P
32,Ambient Crema 300x300,240060-80,KFE X CHOCOBROWN (Q size)-P
33,Ambient Decor 600x300,240060-80,KFE X LUNAGREY (Psize)-P
34,Ambient DK 600x300,300300-10,KFE X RE BLOCK CHE T'COT PLUS-P
35,Ambient LT 600x300,240060-80,KFE X CHOCOBROWN (R size)-P
36,Ambrosia Gold 1200x600,240060-80,KFE X COPPER BROWN (Q size)-P
37,American Walnut 1200x300,240060-80,KFE X LUNAGREY (Q size)-P
38,American Walnut 1200x600,300300-0812,KFE X BM  MM -REC IVORY -P
39,Andes Bright 600x300,300300-10,KFE X BM-RE CHECKD GREY(PLUS)-P
40,Andes HL 600x300,400400-06,KFE X BM-REC TERRACOTA(PLUS) -P
41,Antartica White 600x600,300300-08,KFE X BM-REC COOL ROOF WHITE -P
